ID,No. de caja,Secuencia de expedientes,No. de expediente,Contenido,Fecha,No. de Ley/Resolución/Decreto,Observaciones,Tipo de Iniciativa,Resolución / contrato
75,Pendiente,1025-1072,1056,Proyecto de ley que modifica la No. 688 sobre Impuesto Territorial. ,04/11/1930,Ley #23,,Proyecto de Ley,
76,Pendiente,1025-1072,1057,Proyecto de ley que modifica los actos 4 y 5 de la #1051 (manutención de los hijos).,05/11/1930,Ley #24,,Proyecto de Ley,
77,Pendiente,1025-1072,1058,Reglamento Interior de la Cámara de Diputados.,04/11/1930,-,,Resolución,
78,Pendiente,1025-1072,1059,"Proyecto de ley que vota la suma de $9, 545, 92 para atenciones del servicio de comunicaciones.",05/11/1930,-,,Proyecto de Ley,
79,Pendiente,1025-1072,1060,Proyecto de ley que modifica el artículo 1 párrafos 4 y 5de la #680 sobre Aduanas y Puertos.,05/11/1930,-,Contiene comentario “observada” al lado del número de expediente.,Proyecto de Ley,
80,Pendiente,1025-1072,1061,Proyecto de ley que crea el Impuesto de Transmisión de Bienes.,05/11/1930,-,,Proyecto de Ley,
81,Pendiente,1025-1072,1062,Proyecto de ley que transfiere fondos del símbolo G-30124-A al símbolo G-30101-A de la de Gastos Públicos (Secretaría de Estado de Relaciones Exteriores).,08/11/1930,-,,Proyecto de Ley,
82,Pendiente,1025-1072,1063,Proyecto de ley que transfiere fondos para pagar la impresión de documentos históricos extraídos del Archivo de Indias.,10/11/1930,Ley #28,,Proyecto de Ley,
83,Pendiente,1025-1072,1064,Proyecto de ley sobre pensiones (suspensión)*,10/11/1930,Ley #32,*Podría ser supresión.,Proyecto de Ley,
84,Pendiente,1025-1072,1065,Proyecto de ley que pensiona a la Sra. Leonor Fajardo y la Sra. Mélida Morales y jubila a la Sta. Clara Esperón Lasplaigne. ,11/11/1930,-,,Proyecto de Ley,
85,Pendiente,1025-1072,1066,Proyecto de ley que modifica el artículo 6 de la #1231 (pago de mensuras catastrales).,12/11/1930,-,,Proyecto de Ley,
86,Pendiente,1025-1072,1067,"Proyecto de ley que deroga diversas leyes que erogan fondos por valor de $117, 830, 11.",13/11/1930,Ley #38,,Proyecto de Ley,
87,Pendiente,1025-1072,1068,Proyecto de ley que transfiere fondos en el presupuesto de Gastos Públicos para regularizar los balances de Hacienda.,17/11/1930,-,,Proyecto de Ley,
88,Pendiente,1025-1072,1069,"Proyecto de ley que aprueba la Convención sobre Propiedades Artísticas, Científicas y Literarias celebrada con España.",12/12/1930,Resolución #52,,Proyecto de Ley,
89,Pendiente,1025-1072,1070,Proyecto de ley que crea la Comisión de Reformas a la Enseñanza.,17/11/1930,Ley #53,,Proyecto de Ley,
90,Pendiente,1025-1072,1071,"Proyecto de ley que declara “Día de Conmemoración Histórica” no hábil para el trabajo, el día 17 de diciembre de 1930.",18/11/1930,Ley #31,,Proyecto de Ley,
91,Pendiente,1025-1072,1072,Proyecto de ley que crea el Consulado General en la Habana y suprime el cargo remunerado de Sec. de Primera Clase en la misma legación.,19/11/1930,-,,Proyecto de Ley,
92,Pendiente,1074-1109,1074,Proyecto de ley sobre Reconstrucción y Construcción.,17/11/1930,Ley #142,,Proyecto de Ley,
93,Pendiente,1074-1109,1075,Proyecto de ley que jubila al Sr. José David Henríquez y Carvajal y a otros.,18/11/1930,-,,Proyecto de Ley,
94,Pendiente,1074-1109,1076,Proyecto de ley que da el nombre de Elías Piña a la común de Comendador.,20/11/1930,Ley #30,,Proyecto de Ley,
95,Pendiente,1074-1109,1077,"Proyecto de ley que castiga a toda persona que se introduzca en una heredad, finca o plantación sin permiso del dueño.",20/11/1930,Ley #43,,Proyecto de Ley,
96,Pendiente,1074-1109,1078,Proyecto de ley que aumenta la jubilación del Sr. Manuel Sánchez a $40 mensuales.,20/11/1930,-,,Proyecto de Ley,
97,Pendiente,1074-1109,1079,"Proyecto de ley que pensiona a las Sras. Carmelita Pimentel, Sarah López Penha y otras personas más.",20/11/1930,-,,Proyecto de Ley,
98,Pendiente,1074-1109,1080,Proyecto de ley sobre Compañía de Seguros.,18/11/1930,Ley #68,,Proyecto de Ley,
99,Pendiente,1074-1109,1081,Proyecto de ley sobre cobro de Derechos Consulares.,28/11/1930,Ley #33,,Proyecto de Ley,
100,Pendiente,1074-1109,1082,Proyecto de ley sobre el ejercicio de los farmacéuticos autorizados.,28/11/1930,Ley #66,,Proyecto de Ley,
101,Pendiente,1074-1109,1083,Proyecto de ley que declara de utilidad pública varias propiedades contiguas al Baluarte 27 de Febrero.,28/11/1930,-,,Proyecto de Ley,
102,Pendiente,1074-1109,1084,Proyecto de ley que modifica el párrafo 11 de la No. 35 (tarifa consular).,27/11/1930,Ley #41,,Proyecto de Ley,
103,Pendiente,1074-1109,1085,Proyecto de ley que prohíbe que los extranjeros desempeñen cargos públicos en el país.,27/11/1930,Ley #42,,Proyecto de Ley,
104,Pendiente,1074-1109,1086,"Proyecto de ley sobre preparación de productos nacionales, sus marcas y etiquetas.",28/11/1930,Ley #49,,Proyecto de Ley,
105,Pendiente,1074-1109,1087,Proyecto de ley que modifica la Ley de Patentes vigente  en sus artículos 1 al 8 inclusives.,01/12/1930,-,,Proyecto de Ley,
106,Pendiente,1074-1109,1088,Proyecto de ley que agrega un párrafo el artículo único del Decreto #37 del Poder Ejecutivo (cemento).,04/12/1930,Ley #58,,Proyecto de Ley,
107,Pendiente,1074-1109,1089,"Proyecto de ley que hace obligatoria la aplicación de las reglas generales que rigen sobre Aranceles de Importación y Exportación, a la Ley #190 y sus modificaciones. ",10/12/1930,Ley #46,,Proyecto de Ley,
108,Pendiente,1074-1109,1090,Proyecto de ley que aumenta a $25 mensuales la jubilación del Sr. Julián Evertz.,12/12/1930,-,,Proyecto de Ley,
109,Pendiente,1074-1109,1091,Proyecto de ley que jubila a la Sta. Teresa Marie y a la Sra. Julia Espinal Vda. Rodríguez.,12/12/1930,-,,Proyecto de Ley,
110,Pendiente,1074-1109,1092,Proyecto de ley que denomina “Carretera Luperón” a la Santiago-Puerto Plata.,12/12/1930,Ley #47,,Proyecto de Ley,
111,Pendiente,1074-1109,1093,Proyecto de Ley de Lotería.,12/12/1930,Ley #48,,Proyecto de Ley,
112,Pendiente,1074-1109,1094,"Proyecto de ley que pensiona a la Sra. María Vda. Bussy, al Sr. Don Salvador Mella y jubila a la Sra. Jimena Fernández de Cabral. ",19/12/1930,-,,Proyecto de Ley,
113,Pendiente,1074-1109,1095,Proyecto de ley que legaliza los actos emanados en las cortes y tribunales de la República del 25 de junio de 1926 al 8 de enero de 1931.,08/01/1931,Ley #76,,Proyecto de Ley,
114,Pendiente,1074-1109,1096,Proyecto de ley que transfiere fondos del símbolo G-20141-B al símbolo G-20143-C objeto 3070.,16/12/1930,-,,Proyecto de Ley,
115,Pendiente,1074-1109,1097,"Proyecto de ley que destina del superávit montante de la de Gastos Públicos para 1931 la suma de $2, 137, 208, 17 para pavimentación y alcantarillado de la ciudad de Santiago.",18/12/1930,-,,Proyecto de Ley,
116,Pendiente,1074-1109,1098,Proyecto de ley de Presupuesto que deroga la #1111 del 3 de mayo de 1929.,19/12/1930,Ley #57,,Proyecto de Ley,
117,Pendiente,1074-1109,1099,Asuntos que de acuerdo con el artículo 37 de la constitución quedaron como no iniciados.,22/12/1930,-,,Sesión constitucional,
118,Pendiente,1074-1109,1100,Proyecto de ley que modifica el artículo 11 de la Ley para la Dirección de la Enseñanza Pública.,09/12/1930,Ley #56,,Proyecto de Ley,
119,Pendiente,1074-1109,1101,Proyecto de ley que establece un impuesto sobre billetes de loterías extranjeros. ,18/12/1930,Ley #60,,Proyecto de Ley,
120,Pendiente,1074-1109,1102,Proyecto de ley que hace obligatorio a los estudiantes de farmacia la práctica de laboratorio.,18/12/1930,Ley #65,,Proyecto de Ley,
121,Pendiente,1074-1109,1103,Proyecto de ley de Presupuesto para el año económico de 1931.,20/12/1930,Ley #55,,Proyecto de Ley,
122,Pendiente,1074-1109,1104,Proyecto de ley que crea una Comisión Especial Interparlamentaria de Jubilaciones.,23/12/1930,Ley #62,,Proyecto de Ley,
123,Pendiente,1074-1109,1105,Proyecto de ley que reforma la No. 959 del 26 de mayo de 1928 que modifica el artículo 92 de la de Registro de Tierras. ,23/12/1930,Ley #75,,Proyecto de Ley,
124,Pendiente,1074-1109,1106,Proyecto de ley que prohíbe el baile de “Voudou” o “Sánce” y sus similares. ,23/12/1930,-,,Proyecto de Ley,
125,Pendiente,1074-1109,1107,Proyecto de ley que modifica el artículo 181 de la de Aduanas y Puertos.,23/12/1930,Ley #63,,Proyecto de Ley,
126,Pendiente,1074-1109,1108,Proyecto de ley que ordena transferencias de fondos dentro del presupuesto de 1929 para la creación y sostenimiento de un campo de tiro al blanco. ,26/12/1930,-,,Proyecto de Ley,
127,Pendiente,1074-1109,1109,Proyecto de ley que establece que los ayuntamientos no podrán destinar menos de un 5% de sus entradas generales para el sostenimiento de la Enseñanza Pública en sus respectivas comunes.,09/01/1931,Ley #72,,Proyecto de Ley,
128,2,1110-1148,1110,Proyecto de ley que enmienda el artículo 12 de la #1310 (nombramientos de catedráticos).,10/01/1931,Ley #105,,Proyecto de Ley,
129,2,1110-1148,1111,Proyecto de ley por la cual se da el nombre de “Monseñor de Meriño” al distrito municipal de la Jagua. ,12/01/1931,Ley #69,,Proyecto de Ley,
130,2,1110-1148,1112,Proyecto de ley que modifica la No. 1216 sobre Armas de Fuego.,12/01/1931,Ley #70,,Proyecto de Ley,
131,2,1110-1148,1113,Proyecto de ley que aprueba la cesión hecha por el Poder Ejecutivo de las edificaciones que existen en el campo de la exposición en Santiago en 1927 a favor del Ayuntamiento de la común de Santiago.,24/12/1930,-,Contiene comentario “observada” al lado del número de expediente.,Proyecto de Ley,
132,2,1110-1148,1114,Proyecto de ley que aprueba la Ord. del Ayuntamiento de La Romana estableciendo una tarifa para los espectáculos públicos en la común.,18/01/1931,Resolución #95,,Proyecto de Ley,
133,2,1110-1148,1115,Proyecto de ley que modifica el artículo 1° de la #759 (Junta de Gracia y Perdón).,27/01/1931,Ley #83,,Proyecto de Ley,
134,2,1110-1148,1116,Proyecto de ley que autoriza varias supresiones y transferencias en la de Apropiaciones #55.,27/01/1931,-,,Proyecto de Ley,
135,2,1110-1148,1117,"Proyecto de ley que autoriza al Poder Ejecutivo a celebrar contratos de arrendamiento del Ferrocarril Central Dominicano, del Acueducto de Santo Domingo y del Teléfono Automático. ",27/01/1931,Ley #77,,Proyecto de Ley,
136,2,1110-1148,1118,Proyecto de ley que autoriza el funcionamiento de los talleres de pirotecnia en el país.,27/01/1931,Ley #81,,Proyecto de Ley,
137,2,1110-1148,1119,Proyecto de ley que establece penas para los fraudes en el pago de los impuestos nacionales.,27/01/1931,-,,Proyecto de Ley,
138,2,1110-1148,1120,Proyecto de ley que modifica la de Secretarías de Estado No. 1312. ,28/01/1931,Ley #79,,Proyecto de Ley,
139,2,1110-1148,1121,Proyecto de ley que reforma la sección tercera de la #1112 del 3 de mayo del 1929 relativa  a la “Junta de Mejores Públicas”.,30/01/1931,Ley #87,,Proyecto de Ley,
140,2,1110-1148,1122,Proyecto de resolución que acuerda un voto de adhesión y solidaridad al presidente Trujillo con motivo de sus últimas declaraciones.,30/01/1931,-,,Resolución,
141,2,1110-1148,1123,Proyecto de ley que reforma la Ley de Dirección de la Enseñanza Pública.,02/02/1931,Ley #89,,Proyecto de Ley,
142,2,1110-1148,1124,"Proyecto de ley que reforma los artículos 41 y 45 de la que establece los Consejos de Guerra y los artículos 2°, 3° y 4° de la No. 45.",11/02/1931,,,Proyecto de Ley,
143,2,1110-1148,1125,Proyecto de ley que modifica la #84 de Apropiaciones.,11/02/1931,-,,Proyecto de Ley,
144,2,1110-1148,1126,Aprobación de nombramientos diplomáticos.,12/02/1931,-,,Resolución,
145,2,1110-1148,1127,Proyecto de ley que crea mercados en las fronteras norte y sur de la República.,13/02/1931,Ley #94,,Proyecto de Ley,
146,2,1110-1148,1128,Proyecto de ley que establece sanciones para los ciudadanos que de algún modo provocasen la injerencia de gobiernos extranjeros en los problemas de orden político u administrativo de la República. ,25/02/1931,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
147,2,1110-1148,1129,Proyecto de ley sobre Lotería Nacional.,25/02/1931,Ley #99,,Proyecto de Ley,
148,2,1110-1148,1130,Proyecto de ley que autoriza al Estado a donar al Gobierno español el pabellón dominicano en la Exposición de Sevilla.,25/02/1931,Ley #101,,Proyecto de Ley,
149,2,1110-1148,1131,Proyecto de ley que aprueba el contrato de la Lotería Nacional.,25/02/1931,Resolución 92,Contiene nota entre paréntesis poco legible  debajo de la descripción. ,Proyecto de Ley,
150,2,1110-1148,1132,Proyecto de ley que destina los balances del presupuesto del año 1929 para compra de equipo de guerra del Ejército Nacional.,25/02/1931,-,,Proyecto de Ley,
151,2,1110-1148,1133,Proyecto de ley que reforma los párrafos 31 y 32 del artículo 2 de la de Patentes.,04/03/1931,Ley #113,,Proyecto de Ley,
152,2,1110-1148,1134,Proyecto de ley que castiga los fraudes cometidos en las ventas de materiales de construcción.,25/02/1931,Ley #100,,Proyecto de Ley,
153,2,1110-1148,1135,Proyecto de resolución que aprueba la Ord.  del Ayuntamiento de La Romana estableciendo una tarifa para el cobro de los derechos municipales sobre fiestas y espectáculos públicos.,05/12/1930,Resolución #35,,Resolución,
154,2,1110-1148,1136,"Proyecto de resolución que aprueba el nombramiento diplomático del Sr. Héctor Bienvenido Trujillo, capitán del Ejército Nacional, como agregado militar de nuestras legaciones en Francia, Italia, Suiza, Bélgica y España.",05/03/1931,Resolución #93,,Resolución,
